idviagem;transporte;pais_Origem ida;pais_destino;valor_passagem;taxaservico
15233002;Aéreo;Brasil     ;Brasil     ;336,53;0,0
15233002;Aéreo;Brasil     ;Brasil     ;666,68;0,0
15233002;Aéreo;Brasil     ;Brasil     ;233,17;0,0
15238063;Aéreo;Brasil     ;Brasil     ;746,35;0,0
15238076;Aéreo;Brasil     ;Brasil     ;519,24;0,0
15238076;Aéreo;Brasil     ;Brasil     ;774,17;0,0
15303334;Aéreo;Brasil     ;Brasil     ;0,0;0,0
15303334;Aéreo;Brasil     ;Brasil     ;495,68;0,0
15303334;Aéreo;Brasil     ;Brasil     ;0,0;0,0
15303334;Aéreo;Brasil     ;Brasil     ;490,47;0,0
15387556;Aéreo;Brasil     ;Brasil     ;672,6;0,0
15392543;Aéreo;Brasil     ;Brasil     ;2671,64;0,01
15393655;Aéreo;Brasil     ;França     ;3463,12;0,0
15405750;Aéreo;Suíça      ;China      ;5895,37;0,0
15405941;Aéreo;Brasil     ;Itália     ;4920,08;6,63
15405941;Aéreo;Reino Unido;Itália     ;0,0;0,0
15405941;Aéreo;Itália     ;Reino Unido;955,83;6,63
15405941;Aéreo;Itália     ;Brasil     ;0,0;0,0
15425182;Aéreo;Brasil     ;Brasil     ;738,47;0,0
15425182;Aéreo;Brasil     ;Brasil     ;1037,17;0,0
15425470;Aéreo;Brasil     ;Brasil     ;738,47;0,0
15425470;Aéreo;Brasil     ;Brasil     ;1037,17;0,0
15429439;Aéreo;Brasil     ;Brasil     ;528,49;0,01
15429439;Aéreo;Brasil     ;Brasil     ;280,98;0,01
15429714;Aéreo;Brasil     ;Brasil     ;528,49;0,01
15429714;Aéreo;Brasil     ;Brasil     ;172,98;0,01
15430129;Aéreo;Brasil     ;Brasil     ;534,08;0,01
15430129;Aéreo;Brasil     ;Brasil     ;647,39;0,01
15430810;Aéreo;Brasil     ;Brasil     ;488,39;0,0
15430810;Aéreo;Brasil     ;Brasil     ;394,27;0,0
15434007;Aéreo;Brasil     ;Brasil     ;843,17;0,01
15434007;Aéreo;Brasil     ;Brasil     ;448,39;0,01
15435008;Aéreo;Brasil     ;Brasil     ;647,39;0,01
15435008;Aéreo;Brasil     ;Brasil     ;534,08;0,01
15437882;Aéreo;Brasil     ;Brasil     ;843,17;0,01
15437882;Aéreo;Brasil     ;Brasil     ;448,39;0,01
15442463;Aéreo;Brasil     ;Brasil     ;494,97;0,0
15442463;Aéreo;Brasil     ;Brasil     ;702,98;0,0
15447274;Aéreo;Brasil     ;Brasil     ;673,39;0,01
